ID,DisplayName_lang,Description_lang
3,Long,
4,Foxtail,
5,Braids,
6,Swept,
7,Spiked Tail,
8,Beaded Braid,
9,Horned,
10,Looped Tail,
11,Bald,
19,Bare,
20,Splayed Tendrils,
21,Burns,
22,Chops,
23,Mustachioed,
24,Soul Patch,
25,Goatee,
26,Twin Tendrils,
27,Straight,
28,Loose,
29,Bangs,
30,Full,
31,Parted Long,
32,Flipped,
33,Tomboy,
34,Pony Right,
35,Pony Left,
36,Bobbed,
37,Layered,
38,Short,
39,Flirty,
40,Waved,
41,Bun,
42,Parted Short,
43,Waved Bob,
44,Rushed,
55,Unpierced,
56,Earrings,
57,Upper Earrings,
58,Double Upper Earrings,
59,Full Earrings,
60,Nose Ring,
61,Nose & Brow Rings,
62,Soaked,
63,Bald,
64,Peasant,
65,Soldier,
66,Monk,
67,Barbarian,
68,Dashing,
69,Loose,
70,Courtier,
71,Scholar,
72,Rogue,
73,Fabulous,
74,Samson,
85,Bearded,
86,Colonel,
87,Duelist,
88,Goatee,
89,Wizard,
90,Chops,
91,Van Dyke,
92,Mustachioed,
93,Clean,
125,Straight,
126,Flipped,
127,Cute,
128,Feathered,
129,Buns,
130,Jeweled Band,
131,Bangs,
132,Elegant,
133,Bounce,
134,Nape,
135,Sassy,
143,Sweeping,
144,Curled,
145,Arced,
146,High,
147,Spread,
148,Grand,
149,Short,
175,High Tail,
176,Parted Long,
177,Soaked,
178,Trouble,
179,Jeweled Band,
180,Full,
181,Tied,
182,Bun,
183,Parted Short,
184,Simple,
185,Shy,
186,Raquel,
187,Curled,
188,Headband,
200,Rubies,
201,Hoops,
202,Earrings,
203,Dangling Emeralds,
204,Emeralds & Bars,
205,Upper Earrings,
206,Pearls,
207,Dangling Rubies,
208,Emerald & Pearl Bars,
209,Emeralds & Upper Earring,
245,Flipped,
246,Swept,
247,Falcon,
248,Foxtail,
249,Parted Long,
250,Spiked,
251,Long Bangs,
252,Feathered Part,
253,Slicked,
254,Headband,
255,Topknot,
266,Clean,
267,Point,
268,Soul Patch,
269,Spike,
270,Pointed Chin,
271,Cropped Chin,
272,Soul Strip,
273,Dagger,
274,Goatee,
275,Styled Chin,
307,Mane,
308,Chonmage Braids,
309,Long,
310,Tail,
311,Chonmage Long,
312,Short Tail,
313,Windswept,
322,Clean,
323,Groomed,
324,Bearded,
325,Mustachioed,
326,Chops,
327,Goatee,
349,Bald,
350,Long,
351,Tail,
352,Short,
353,Topknot,
354,Short Tail,
355,Swept,
356,Receding,
357,Chonmage,
358,Braid,
359,Short Braid,
370,Full,
371,Double-Braided,
372,Groomed,
373,Short,
374,Grand Mustache,
375,Braided Mustache,
376,Styled,
377,Pointed,
378,Braided,
379,Humbug,
380,Grimbeard,
413,Topknot,
414,Tail,
415,Crest,
416,Tufts,
417,Boar Tails,
418,Horns,
419,Mane,
420,Shaved,
429,Unpierced,
430,Earrings,
431,Upper Earrings,
432,Nose Ring,
433,Nose & Earrings,
434,Nose & Upper Earrings,
435,Full Earrings,
459,Double-Braided,
460,Braided Buns,
461,Braided,
462,Boar Tails,
463,Braided Bun,
464,Looped,
465,Tied,
466,Short,
467,Parted,
468,Short Braids,
469,Bobbed,
470,Cropped,
471,Bangs & Braids,
472,Gathered,
483,Unpierced,
484,Earrings,
485,Upper Earring,
486,Double Upper Earring,
487,Nose Ring,
488,Small Earrings,
519,Tower,
520,Sprouts,
521,Boar Tails,
522,Parted,
523,Soaked,
524,Braided Buns,
525,Bobbed,
535,Unpierced,
536,Earrings,
537,Small Earrings,
538,Upper Earrings,
539,Full Earrings,
540,Left Earring,
541,Right Earring,
565,Bald,
566,Wings,
567,Groomed,
568,Cowlicked,
569,Styled,
570,Balding,
571,Combover,
581,Clean,
582,Goatee,
583,Chops,
584,Waxed,
585,Bearded,
586,Handlebars,
587,Styled,
588,Mustachioed,
613,Bald,
614,Mohawk,
615,Shaggy,
616,Wisps,
617,Spiked,
618,Wild,
619,Scholar,
620,Full,
621,Topknot,
622,Long,
633,Intact,
634,Rot-Kissed,
635,Strapped,
636,Strapped Slackjaw,
637,Strapped Drooler,
638,Rotting,
639,Rotting Slackjaw,
640,Rotting Drooler,
641,Bonejawed,
642,Jawsome,
643,Toothy,
644,Toothy Slackjaw,
645,Cheeky,
646,Cheeky Slackjaw,
647,Putrid,
648,Putrid Slackjaw,
649,Putrid Drooler,
687,Wild,
688,Shaggy,
689,Loose,
690,Windswept,
691,Long,
692,The Bride,
693,Tomboy,
694,Styled,
695,Bobbed,
696,Soaked,
707,Intact,
708,Stitched,
709,Strapped,
710,Rotting,
711,Bonejawed,
712,Toothy,
713,Cheeky,
714,Putrid,
743,Longhorn,
744,Bull,
745,Charger,
746,Broken,
747,Snapped,
748,Tiny,
749,Buffalo,
750,Gorefest,
754,Clean,
755,Triple Braids,
756,Ringed,
757,Braid,
758,Bearded,
759,Double Braids,
760,Ringed & Braided,
779,Bald,
780,Topknot,
781,Chonmage,
782,Crest,
783,Chonmage Long,
784,Braided,
785,Tail,
794,Clean,
795,Rough,
796,Groomed Beard,
797,Cropped Beard,
798,Wild Beard,
799,Thick Braid,
800,Twin Braids,
801,Chop Braids,
802,Thin Braid,
803,Chops,
804,Tufts,
831,Horned,
832,Low,
833,Long,
834,Upturned,
835,Small,
836,Wide,
837,Buffalo,
841,Maned,
842,Braids,
843,Loops,
844,Tails,
845,Tufts,
861,Long,
862,Loose Tail,
863,Short,
864,High Tail,
865,Braided Tails,
866,Short Tail,
867,Braided Tail,
876,Bear,
877,Blades,
878,Crane,
879,Leaf,
880,Claws,
881,Wings,
882,Serpent,
883,Owl,
884,Shadow,
885,No Tattoo,
911,Bald,
912,Receding,
913,Crest,
914,Windswept,
915,Topknot,
916,Tail,
927,Tusked,
928,Gougers,
929,Mammoth,
930,Upturned,
931,Bridle,
932,Tusked Mask,
933,Warpaint Gougers,
934,Striped Mammoth,
935,Painted Upturned,
936,Painted Bridle,
937,Spotted Mammoth,
965,Braids,
966,High Tail,
967,Swept Braids,
968,Topknot,
969,Braided Crest,
980,Nibblers,
981,Short,
982,Straight,
983,Upturned,
984,Long,
985,Oni,
1012,Prince,
1013,Spikes,
1014,Swept,
1015,Foxtail,
1016,Slicked,
1017,Styled,
1018,Elaborate,
1019,Nape,
1020,Boar Tails,
1021,Bangs,
1022,Unpierced,
1029,Mane,
1030,Chonmage Braids,
1031,Tail,
1032,Windswept,
1033,Chonmage Long,
1034,Spiked,
1035,Backspike,
1036,Horned Foxtail,
1037,Topknot,
1038,Emo,
1039,Hairband,
1040,Trouble,
1041,Shy,
1042,High Tail,
1043,Soaked,
1044,Barbarian,
1045,Soldier,
1046,Scholar,
1047,Laurel Wreath,
1048,Fabulous,
1049,Bun,
1050,Flirty,
1051,Waved Bob,
1052,Braided Tails,
1053,Braided Tail,
1054,Windswept,
1055,Shaggy,
1056,Mohawk,
1057,Loose,
1058,Wild,
1059,Short,
1060,Cute,
1061,Tail,
1062,Looped,
1063,Tied,
1064,Slicked,
1065,Styled,
1066,Curled,
1067,Raquel,
1068,Simple,
1069,Short Braided Tail,
1070,Wild,
1071,Braided Tail,
1072,Mohawk,
1073,Long Braided Tail,
1074,Hairband,
1075,Soaked,
1076,Tomboy,
1077,Gathered,
1078,Looped,
1079,Spiked,
1080,Mohawk,
1081,Slicked Topknot,
1082,Long,
1083,Wild,
1084,Wild,
1085,Styled,
1086,Tomboy,
1087,Flipped,
1088,Tipped,
1089,Curled,
1090,Capped,
1091,Lyre,
1092,Ringed,
1093,Charger,
1094,Snapped,
1095,Gougers,
1096,Close,
1097,Stubs,
1098,Braids,
1099,Plume,
1100,Scruffy,
1101,Mohawk,
1102,Jungle Flower,
1103,Wrapped Braid,
1104,Mohawk,
1105,Mota,
1106,Fauxhawk,
1107,Swept,
1108,Monk,
1109,High,
1110,Barbarian,
1111,Short,
1112,Boar Tails,
1113,Parted,
1114,Short,
1115,Unkept,
1116,Sprouts,
1117,Long,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,Beaded Tails,
1151,Wild,
1152,Chops,
1153,Scruffy,
1154,Beaded Tufts,
1155,Clean,
1156,Mane,
1157,Clean,
1158,Topknot,
1159,Troublemaker,
1160,Mutton Tail,
1161,Greaser,
1162,Corsair,
1163,Topknot n' Mutton,
1164,Boing,
1165,Mohawk,
1166,Grump,
1167,Chonmage,
1168,Boltburns,
1169,Skeevy,
1170,The Executive,
1171,Scruffy,
1172,Roguish,
1173,Bolty,
1174,Topknot n' Boltburns,
1175,Scruffy Chonmage,
1176,Bald,
1177,Septum Ring,
1178,Nose Rings,
1179,Nose Ring,
1180,Simple,
1181,Flappy,
1182,Tall,
1183,Droopy Tips,
1184,Upper Rings,
1185,Studs,
1186,Rings n' Studs,
1187,Pierced,
1188,Boar Tails,
1189,Full Tilt,
1190,Twin Tufts,
1191,Upswept,
1192,Curly-Cute,
1193,Fauxhawk,
1194,Belle Bell,
1195,Bangs n' Tufts,
1196,Peek-A-Boo,
1197,Bad Girl,
1198,Kooky,
1199,Tough Girl,
1200,The Cupcake,
1201,Elegance,
1202,Naughty,
1203,Trifecta,
1204,Chavvy,
1205,Tall,
1206,Perky,
1207,Simple,
1208,Onyx n' Rings,
1209,Rings,
1210,The Bone,
1211,The Beak,
1212,Studs,
1213,Hoop,
1214,Skull,
1215,Tall Rings,
1223,,
